TransaccionID,Fecha,ProductoID,TiendaID,UnidadesVendidas,PrecioUnitarioAplicado,DescuentoPorcentaje,PrecioTotal
TRX-000188,2024-06-12,P-0073,T-047,3,279.88,0,839.64
TRX-000189,2023-06-05,P-0103,T-038,9,298.7,0,2688.30
TRX-000190,2023-12-10,P-0126,T-008,5,349.7,21,1381.32
TRX-000191,2023-12-28,P-0173,T-029,6,463.76,0,2782.56
TRX-000192,2024-06-29,P-0185,T-045,7,541.49,0,3790.43
TRX-000193,2023-01-18,P-0030,T-049,12,483.75,0,5805.00
TRX-000194,2023-02-26,P-0115,T-015,10,154.21,0,1542.10
TRX-000195,2024-07-21,P-0021,T-030,7,517.7,19,2935.36
TRX-000196,2024-03-01,P-0154,T-029,2,316.24,0,632.48
TRX-000197,2024-10-10,P-0077,T-030,14,740.59,0,10368.26
TRX-000198,2023-03-25,P-0059,T-022,6,791.54,0,4749.24
TRX-000199,2024-02-01,P-0075,T-033,8,711.85,25,4271.10
TRX-000200,2023-11-16,P-0020,T-050,11,525.72,30,4048.04
TRX-000201,2024-05-10,P-0085,T-033,1,574.36,0,574.36
TRX-000202,2024-04-06,P-0192,T-012,8,94.68,0,757.44
TRX-000203,2024-09-02,P-0077,T-015,14,740.59,0,10368.26
TRX-000204,2024-12-01,P-0135,T-033,13,56.77,7,686.35
TRX-000205,2023-03-19,P-0155,T-036,7,452.98,0,3170.86
TRX-000206,2024-11-24,P-0064,T-007,12,378.64,0,4543.68
TRX-000207,2024-01-03,P-0092,T-005,5,763.23,0,3816.15
TRX-000208,2023-08-13,P-0084,T-002,12,214.01,0,2568.12
TRX-000209,2023-03-17,P-0124,T-037,1,300.81,16,252.68
TRX-000210,2023-11-21,P-0089,T-019,2,94.19,0,188.38
TRX-000211,2024-01-28,P-0045,T-028,14,585.29,0,8194.06
TRX-000212,2024-10-06,P-0139,T-046,3,165.65,0,496.95
TRX-000213,2023-08-03,P-0070,T-034,8,520.91,0,4167.28
TRX-000214,2023-05-16,P-0188,T-008,9,628.65,0,5657.85
TRX-000215,2023-11-19,P-0168,T-008,9,714.02,0,6426.18
TRX-000216,2024-09-28,P-0175,T-032,2,52.76,0,105.52
TRX-000217,2024-10-06,P-0184,T-005,14,663.06,0,9282.84
TRX-000218,2023-08-01,P-0053,T-006,13,373.39,0,4854.07
TRX-000219,2023-07-12,P-0155,T-010,3,452.98,0,1358.94
TRX-000220,2023-11-24,P-0056,T-023,1,128.84,0,128.84
TRX-000221,2024-06-05,P-0050,T-017,3,406.88,0,1220.64
TRX-000222,2023-04-17,P-0003,T-009,9,834.48,23,5782.95
TRX-000223,2023-12-08,P-0005,T-048,7,750.5,19,4255.34
TRX-000224,2023-10-06,P-0086,T-028,4,112.12,0,448.48
TRX-000225,2024-09-02,P-0142,T-045,1,518.66,0,518.66
TRX-000226,2023-03-24,P-0075,T-002,8,711.85,0,5694.80
TRX-000227,2024-06-21,P-0071,T-012,3,52.81,0,158.43
TRX-000228,2024-03-20,P-0168,T-037,2,714.02,0,1428.04
TRX-000229,2024-11-21,P-0189,T-022,1,641.43,19,519.56
TRX-000230,2023-11-10,P-0098,T-002,7,348.62,0,2440.34
TRX-000231,2024-01-25,P-0153,T-038,6,234.58,19,1140.06
TRX-000232,2023-10-13,P-0015,T-017,14,839.97,29,8349.30
TRX-000233,2024-03-30,P-0066,T-022,5,456.2,0,2281.00
TRX-000234,2023-12-30,P-0141,T-034,10,248.53,0,2485.30
TRX-000235,2024-11-30,P-0178,T-020,13,220.82,0,2870.66
TRX-000236,2023-01-17,P-0188,T-007,15,628.65,0,9429.75
TRX-000237,2023-06-07,P-0061,T-024,3,441.59,12,1165.80
TRX-000238,2024-04-30,P-0100,T-013,11,253.63,0,2789.93
TRX-000239,2024-06-22,P-0152,T-009,3,665.71,11,1777.45
TRX-000240,2024-09-05,P-0164,T-010,15,255.54,0,3833.10
TRX-000241,2023-09-10,P-0098,T-004,7,348.62,0,2440.34
TRX-000242,,P-0048,T-012,9,473.4,,4260.60
TRX-000243,2024-05-14,P-0047,T-001,2,288.84,0,577.68
TRX-000244,2024-03-27,P-0099,T-029,10,538.89,0,5388.90
TRX-000245,2024-04-14,P-0102,T-016,6,577.31,0,3463.86
TRX-000246,2024-05-29,P-0164,T-040,6,255.54,0,1533.24
TRX-000247,2023-12-17,P-0076,T-009,13,392.31,0,5100.03
TRX-000248,2023-03-04,P-0022,T-002,9,121.94,0,1097.46
TRX-000249,2023-10-28,P-0089,T-027,14,94.19,0,1318.66
TRX-000250,2023-03-19,P-0112,T-028,13,434.74,0,5651.62
TRX-000251,2024-01-01,P-0029,T-016,2,386.02,0,772.04
TRX-000252,2024-12-05,P-0044,T-005,8,175.16,0,1401.28
TRX-000253,2023-09-25,P-0039,T-019,11,342.6,0,3768.60
TRX-000254,2023-05-16,P-0064,T-024,2,378.64,0,757.28
TRX-000255,2024-05-03,P-0031,T-014,1,281.57,0,281.57
TRX-000256,2023-09-28,P-0148,T-019,4,314.89,0,1259.56
TRX-000257,2024-09-19,P-0060,T-021,4,241.29,0,965.16
TRX-000258,2023-03-27,P-0041,T-012,1,705.72,0,705.72
TRX-000259,2023-08-30,P-0154,T-020,12,316.24,0,3794.88
TRX-000260,2024-04-14,P-0170,T-006,14,363.08,0,5083.12
TRX-000261,2024-12-15,P-0178,T-009,1,220.82,8,203.15
TRX-000262,2024-11-21,P-0166,T-042,8,543.7,15,3697.16
TRX-000263,2023-02-26,P-0001,T-008,1,391.99,0,391.99
TRX-000264,2023-12-19,P-0137,T-036,9,510.97,0,4598.73
TRX-000265,2024-02-17,P-0135,T-048,8,56.77,0,454.16
TRX-000266,2023-10-09,P-0179,T-034,14,77.95,0,1091.30
TRX-000267,2023-12-16,P-0098,T-029,9,348.62,7,2917.95
TRX-000268,2023-04-06,P-0070,T-041,1,520.91,0,520.91
TRX-000269,2023-01-30,P-0057,T-006,7,696.75,9,4438.30
TRX-000270,2024-06-16,P-0043,T-033,10,521.14,21,4117.01
TRX-000271,2023-08-07,P-0070,T-042,5,520.91,0,2604.55
TRX-000272,2023-11-21,P-0056,T-031,5,128.84,0,644.20
TRX-000273,2023-09-18,P-0161,T-021,1,564.7,0,564.70
TRX-000274,2023-09-29,P-0071,T-040,10,52.81,0,528.10
TRX-000275,2024-03-13,P-0005,T-050,13,750.5,0,9756.50
TRX-000276,2023-01-10,P-0091,T-016,4,644.97,0,2579.88
TRX-000277,2024-05-05,P-0099,T-003,9,538.89,0,4850.01
TRX-000278,2023-05-29,P-0018,T-017,14,518.24,0,7255.36
TRX-000279,2024-09-05,P-0007,T-013,11,671.75,0,7389.25
TRX-000280,2023-07-01,P-0198,T-023,3,300.38,26,666.84
TRX-000281,2024-01-08,P-0057,T-031,1,696.75,0,696.75
TRX-000282,2024-10-12,P-0060,T-049,11,241.29,0,2654.19
TRX-000283,2023-06-19,P-0048,T-022,5,473.4,0,2367.00
TRX-000284,2023-02-02,P-0109,T-041,13,501.08,0,6514.04
TRX-000285,2024-01-31,P-0024,T-041,4,711.7,0,2846.80
TRX-000286,2023-01-28,P-0074,T-007,11,318.26,6,3290.81
TRX-000287,2023-09-06,P-0149,T-034,11,444.25,0,4886.75
TRX-000288,2023-06-09,P-0115,T-015,7,154.21,0,1079.47
TRX-000289,2024-02-28,P-0048,T-015,6,473.4,0,2840.40
TRX-000290,2023-03-04,P-0198,T-018,8,300.38,0,2403.04
TRX-000291,2024-05-18,P-0050,T-030,7,406.88,21,2250.05
TRX-000292,2023-12-15,P-0006,T-014,13,843.07,0,10959.91
TRX-000293,2023-04-12,P-0060,T-013,13,241.29,0,3136.77
TRX-000294,2023-03-12,P-0090,T-049,8,577.16,17,3832.34
TRX-000295,2023-07-31,P-0137,T-035,14,510.97,20,5722.86
TRX-000296,2023-07-12,P-0126,T-020,13,349.7,0,4546.10
TRX-000297,2024-04-07,P-0094,T-027,1,582.95,0,582.95
TRX-000298,2023-02-02,P-0049,T-034,7,622.79,0,4359.53
TRX-000299,2023-07-27,P-0019,T-012,8,285.14,0,2281.12
TRX-000300,2024-12-24,P-0120,T-006,7,93.03,0,651.21
TRX-000301,2023-05-24,P-0199,T-035,13,764.34,5,9439.60
TRX-000302,2023-05-02,P-0147,T-006,14,495.21,0,6932.94
TRX-000303,2023-07-12,P-0098,T-029,14,348.62,26,3611.70
TRX-000304,2024-09-19,P-0142,T-036,8,518.66,0,4149.28
TRX-000305,2023-09-21,P-0134,T-034,9,103.31,0,929.79
TRX-000306,2024-03-26,P-0065,T-040,7,529.46,0,3706.22
TRX-000307,2023-06-15,P-0160,T-042,4,192.15,0,768.60
TRX-000308,2024-04-14,P-0005,T-009,12,750.5,0,9006.00
TRX-000309,2024-08-11,P-0194,T-031,9,249.36,0,2244.24
TRX-000310,2024-04-07,P-0054,T-004,9,324.9,0,2924.10
TRX-000311,2024-03-05,P-0022,T-008,6,121.94,17,607.26
TRX-000312,2023-02-08,P-0098,T-036,9,348.62,14,2698.32
TRX-000313,2023-06-25,P-0060,T-019,2,241.29,0,482.58
TRX-000314,2023-03-18,P-0173,T-041,8,463.76,0,3710.08
TRX-000315,2023-05-05,P-0186,T-004,12,313.41,0,3760.92
TRX-000316,2024-12-29,P-0136,T-047,13,362.08,0,4707.04
TRX-000317,2023-06-21,P-0136,T-033,11,362.08,0,3982.88
TRX-000318,2023-07-15,P-0057,T-039,3,696.75,0,2090.25
TRX-000319,2024-02-21,P-0070,T-029,11,520.91,0,5730.01
TRX-000320,2024-09-09,P-0011,T-028,12,230.29,0,2763.48
TRX-000321,2023-12-21,P-0032,T-044,11,413.34,0,4546.74
TRX-000322,2024-05-14,P-0072,T-004,4,173.17,0,692.68
TRX-000323,2023-01-27,P-0117,T-050,9,347.03,12,2748.48
TRX-000324,2024-04-07,P-0137,T-009,10,510.97,12,4496.54
TRX-000325,2024-01-20,P-0017,T-050,1,362.07,0,362.07
TRX-000326,2024-07-16,P-0192,T-047,1,94.68,0,94.68
TRX-000327,2023-03-01,P-0010,T-019,1,413.64,0,413.64
TRX-000328,2023-09-20,P-0119,T-027,15,431.18,15,5497.55
TRX-000329,2024-04-09,P-0056,T-003,2,128.84,0,257.68
TRX-000330,2023-03-22,P-0070,T-005,5,520.91,0,2604.55
TRX-000331,2023-03-23,P-0180,T-019,15,449.28,0,6739.20
TRX-000332,2023-08-24,P-0182,T-034,4,417.62,0,1670.48
TRX-000333,2024-12-30,P-0129,T-035,6,522.69,0,3136.14
TRX-000334,2023-12-01,P-0189,T-049,10,641.43,23,4939.01
TRX-000335,2024-05-20,P-0177,T-023,12,254.46,0,3053.52
TRX-000336,2023-05-06,P-0097,T-025,13,409.85,0,5328.05
TRX-000337,2024-11-03,P-0153,T-017,11,234.58,0,2580.38
TRX-000338,2023-09-25,P-0110,T-028,6,536.34,0,3218.04
TRX-000339,2024-08-05,P-0109,T-048,1,501.08,0,501.08
TRX-000340,2024-07-18,P-0125,T-006,10,362.52,0,3625.20
TRX-000341,2023-07-27,P-0115,T-013,7,154.21,0,1079.47
TRX-000342,2023-05-24,P-0129,T-046,12,522.69,0,6272.28
TRX-000343,2023-02-24,P-0162,T-009,2,270.66,29,384.34
TRX-000344,2024-10-08,P-0048,T-014,10,473.4,0,4734.00
TRX-000345,2023-11-29,P-0139,T-039,14,165.65,0,2319.10
TRX-000346,2024-09-02,P-0029,T-015,3,386.02,0,1158.06
TRX-000347,2023-05-17,P-0050,T-026,1,406.88,15,345.85
TRX-000348,2023-02-03,P-0060,T-039,6,241.29,0,1447.74
TRX-000349,2023-11-11,P-0083,T-045,13,604.06,0,7852.78
TRX-000350,2023-02-03,P-0011,T-004,3,230.29,0,690.87
TRX-000351,2024-07-17,P-0112,T-040,13,434.74,30,3956.13
TRX-000352,2024-03-10,P-0078,T-024,12,110.72,28,956.62
TRX-000353,2024-04-05,P-0010,T-026,6,413.64,0,2481.84
TRX-000354,2023-04-12,P-0151,T-011,5,71.31,0,356.55
TRX-000355,2024-05-03,P-0175,T-035,3,52.76,0,158.28
TRX-000356,2023-12-23,P-0045,T-004,1,585.29,17,485.79
TRX-000357,2023-03-11,P-0188,T-005,6,628.65,0,3771.90
TRX-000358,2024-05-20,P-0013,T-034,2,227.61,0,455.22
TRX-000359,2024-09-02,P-0039,T-018,6,342.6,0,2055.60
TRX-000360,2023-03-30,P-0036,T-047,7,611.92,24,3255.41
TRX-000361,2023-10-14,P-0056,T-043,6,128.84,0,773.04
TRX-000362,2023-08-24,P-0105,T-023,2,800.31,0,1600.62
TRX-000363,2024-09-07,P-0173,T-042,1,463.76,0,463.76
TRX-000364,2023-05-23,P-0095,T-020,4,771.65,0,3086.60
TRX-000365,2024-11-24,P-0114,T-029,7,109.83,0,768.81
TRX-000366,2024-07-24,P-0040,T-032,3,105.36,0,316.08
TRX-000367,2023-05-18,P-0137,T-008,9,510.97,30,3219.11
TRX-000368,2023-08-01,P-0093,T-011,13,765.58,0,9952.54
TRX-000369,2024-06-27,P-0082,T-016,13,82.17,0,1068.21
TRX-000370,2023-01-07,P-0157,T-038,5,349.73,0,1748.65
TRX-000371,2023-01-30,P-0035,T-025,5,580.48,0,2902.40
TRX-000372,2024-12-08,P-0160,T-040,1,192.15,0,192.15
TRX-000373,2024-03-15,P-0184,T-041,14,663.06,9,8447.38
TRX-000374,2023-08-12,P-0025,T-027,13,616.78,25,6013.60
TRX-000375,2023-03-30,P-0184,T-018,1,663.06,0,663.06
TRX-000376,2023-03-09,P-0069,T-004,3,515.46,0,1546.38
TRX-000377,2023-11-24,P-0127,T-014,6,241.26,0,1447.56
TRX-000378,2023-01-25,P-0106,T-014,15,794.31,5,11318.92
TRX-000379,2023-10-17,P-0073,T-038,13,279.88,0,3638.44
TRX-000380,2024-01-13,P-0175,T-015,10,52.76,0,527.60
TRX-000381,2023-11-03,P-0137,T-047,4,510.97,0,2043.88
TRX-000382,2023-09-17,P-0102,T-003,5,577.31,0,2886.55
TRX-000383,2024-01-17,P-0017,T-017,13,362.07,0,4706.91
TRX-000384,2023-08-03,P-0131,T-003,10,444.99,0,4449.90
TRX-000385,2024-09-27,P-0011,T-015,11,230.29,29,1798.56
TRX-000386,2024-06-18,P-0098,T-033,3,348.62,0,1045.86
TRX-000387,2024-09-09,P-0147,T-038,12,495.21,0,5942.52
TRX-000388,2023-11-16,P-0136,T-043,7,362.08,0,2534.56
TRX-000389,2024-08-02,P-0146,T-030,2,395.97,0,791.94
